doctor_id,name,specialty,tele_available,consultation_fee,experience_years,languages,available_slots
DOC001,Dr. Rajesh Kumar,Pulmonologist,TRUE,800,15,"Hindi,English","2025-10-08T10:00:00,2025-10-08T14:00:00,2025-10-09T09:00:00"
DOC002,Dr. Priya Sharma,General Physician,TRUE,500,10,"Hindi,English,Gujarati","2025-10-08T11:00:00,2025-10-08T16:00:00,2025-10-09T10:00:00"
DOC003,Dr. Amit Patel,Infectious Disease Specialist,TRUE,1000,18,"English,Gujarati","2025-10-08T15:00:00,2025-10-09T11:00:00"
DOC004,Dr. Sneha Desai,Pulmonologist,TRUE,850,12,"Hindi,English,Gujarati","2025-10-08T09:00:00,2025-10-08T13:00:00,2025-10-09T14:00:00"
DOC005,Dr. Vikram Singh,General Physician,TRUE,450,8,"Hindi,English","2025-10-08T10:00:00,2025-10-08T15:00:00,2025-10-09T09:00:00"
DOC006,Dr. Anjali Mehta,Pediatrician,TRUE,600,14,"Hindi,English,Gujarati","2025-10-08T11:00:00,2025-10-08T17:00:00"
DOC007,Dr. Rahul Gupta,Pulmonologist,TRUE,900,20,"English,Hindi","2025-10-08T14:00:00,2025-10-09T10:00:00,2025-10-09T15:00:00"
DOC008,Dr. Kavita Joshi,General Physician,TRUE,550,11,"Hindi,English,Marathi","2025-10-08T09:00:00,2025-10-08T12:00:00,2025-10-09T13:00:00"
DOC009,Dr. Arjun Reddy,Infectious Disease Specialist,TRUE,1100,22,"English,Hindi,Telugu","2025-10-08T16:00:00,2025-10-09T11:00:00"
DOC010,Dr. Nisha Verma,Pulmonologist,TRUE,750,9,"Hindi,English","2025-10-08T10:00:00,2025-10-08T14:00:00,2025-10-09T09:00:00"
DOC011,Dr. Manish Agarwal,General Physician,TRUE,500,13,"Hindi,English,Bengali","2025-10-08T11:00:00,2025-10-08T15:00:00"
DOC012,Dr. Pooja Rao,Pediatrician,TRUE,650,16,"English,Hindi,Kannada","2025-10-08T09:00:00,2025-10-09T10:00:00,2025-10-09T14:00:00"
DOC013,Dr. Sanjay Kulkarni,Pulmonologist,TRUE,880,19,"Hindi,English,Marathi","2025-10-08T13:00:00,2025-10-08T17:00:00"
DOC014,Dr. Deepika Iyer,General Physician,TRUE,520,7,"English,Hindi,Tamil","2025-10-08T10:00:00,2025-10-08T14:00:00,2025-10-09T11:00:00"
DOC015,Dr. Karan Malhotra,Infectious Disease Specialist,TRUE,1050,21,"English,Hindi,Punjabi","2025-10-08T15:00:00,2025-10-09T09:00:00"
DOC016,Dr. Ritu Saxena,Pulmonologist,TRUE,820,14,"Hindi,English","2025-10-08T09:00:00,2025-10-08T13:00:00,2025-10-09T15:00:00"
DOC017,Dr. Aditya Chopra,General Physician,TRUE,480,9,"Hindi,English,Punjabi","2025-10-08T11:00:00,2025-10-08T16:00:00"
DOC018,Dr. Meera Nair,Pediatrician,TRUE,620,12,"English,Hindi,Malayalam","2025-10-08T10:00:00,2025-10-09T10:00:00,2025-10-09T14:00:00"
DOC019,Dr. Rohit Bhatia,Pulmonologist,TRUE,950,17,"English,Hindi","2025-10-08T14:00:00,2025-10-08T18:00:00"
DOC020,Dr. Swati Pandey,General Physician,TRUE,510,10,"Hindi,English,Gujarati","2025-10-08T09:00:00,2025-10-08T12:00:00,2025-10-09T13:00:00"
